all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9682,192.941274,-
10000,1584,141.507663,0.836397
10000,1540,8.076112,0.840942
10000,4677,15.055819,0.516939
20000,19396,7.857719,-
20000,3595,20.178323,0.814653
20000,3447,4.251351,0.822283
20000,9572,2.583622,0.506496
40000,38924,9.386130,-
40000,7964,5.631613,0.795396
40000,8426,3.408918,0.783527
40000,10614,1.931668,0.727315
80000,78017,9.150393,-
80000,18826,10.041656,0.758694
80000,17258,2.960629,0.778792
80000,26872,4.236924,0.655562
120000,117096,8.936162,-
120000,31988,16.533292,0.726822
120000,30562,4.120887,0.739000
120000,41173,5.156585,0.648383
160000,156168,8.444167,-
160000,41520,3.734048,0.734132
160000,32263,1.683337,0.793408
160000,35402,1.822806,0.773308
200000,195193,10.797576,-
200000,64302,3.285046,0.670572
200000,56096,5.908725,0.712613
200000,44898,1.574584,0.769982
